BNS_Section,BNS_Title,Status,IPC_Section,IPC_Title
1(1),"Short title, commencement and application","",1,"Title and extent of operation of the Code"
1(2),"Short title, commencement and application","New Sub-Section",,
1(3),"Short title, commencement and application","",2,"Punishment of offences committed within India"
1(4),"Short title, commencement and application","",3,"Punishment of offences committed beyond, but which by law may be tried within, India"
1(5),"Short title, commencement and application","",4,"Extension of Code to extra-territorial offences"
1(6),"Short title, commencement and application","",5,"Certain laws not to be affected by this Act"
2(1),"'act'","Change",33,"""Act"". ""Omission"""
2(2),"'animal'","",47,"""Animal"""
2(3),"'child'","New Sub-Section",,
2(4),"'counterfeit'","",28,"""Counterfeit"""
2(5),"'Court'","",20,"""Court of Justice"""
2(6),"'death'","",46,"""Death"""
2(7),"'dishonestly'","",24,"""Dishonestly"""
2(8),"'document'","Change",29,"""Document"""
,"","Deleted",29A,"""Electronic record"""
2(9),"'fraudulently'","",25,"""Fraudulently"""
2(10),"'gender'","Change",8,"Gender"
2(11),"'good faith'","",52,"""Good faith"""
2(12),"'Government'","",17,"""Government"""
,"","Deleted",18,"""India"""
2(13),"'harbour'","",52A,"""Harbour"""
2(14),"'injury'","",44,"""Injury"""
2(15),"'illegal' and 'legally bound to do'","",43,"""Illegal"". ""Legally bound to do"""
2(16),"'Judge'","",19,"""Judge"""
2(17),"'life'","",45,"""Life"""
2(18),"'local law'","",42,"""Local law"""
2(19),"'man'","",10,"""Man"". ""Woman"""
2(20),"'month' and 'year'","",49,"""Year"". ""Month"""
2(21),"'movable property'","Change",22,"""Movable property"""
2(22),"'number'","",9,"Number"
2(23),"'oath'","",51,"""Oath"""
2(24),"'offence'","",40,"""Offence"""
2(25),"'omission'","",33,"""Act"". ""Omission"""
2(26),"'person'","",11,"""Person"""
2(27),"'public'","",12,"""Public"""
,"","Deleted",14,"""Servant of Government"""
2(28),"'public servant'","",21,"""Public servant"""
2(29),"'reason to believe'","",26,"""Reason to believe"""
,"","Deleted",50,"""Section"""
2(30),"'special law'","",41,"""Special law"""
2(31),"'valuable security'","",30,"""Valuable security"""
2(32),"'vessel'","",48,"""Vessel"""
